2184
K	82778	0	16.154044	3.184856
B	10742	158663	20.489951	2.631567
B	28179	130484	18.160539	2.827814
B	10120	169405	20.757108	2.499622
B	10249	179525	20.637745	2.683674
P	47706	82778	17.519363	2.927074
B	11190	260525	20.608211	2.665513
B	25669	234856	18.901838	2.634155
B	12237	271715	19.887500	2.379310
P	45082	189774	17.663971	2.851569
B	12046	356162	20.715319	2.846345
B	27204	328958	18.805025	2.493639
B	12953	368208	20.005147	2.713388
P	45006	283952	18.124387	2.878860
B	27240	442015	18.749755	2.636820
B	13384	469255	19.591422	2.836081
P	60854	381161	16.015441	3.193630
B	11827	565245	19.899387	2.906433
B	34456	530789	17.691912	2.854122
B	12474	577072	20.004657	2.595146
B	11925	589546	19.818873	2.816885
P	48150	482639	17.095221	3.034261
B	23050	682435	19.646814	2.761520
B	21636	705485	19.825613	2.642341
B	35482	646953	17.592525	2.681960
B	11772	727121	19.910172	2.789712
B	12388	738893	20.101348	2.515812
P	45482	601471	17.724755	2.938249
B	12315	783538	20.018137	2.745614
P	32257	751281	19.099387	2.811574
K	217184	795853	10.254902	2.565605
B	7199	1104575	22.050613	2.784677
B	9699	1111774	21.409069	2.758066
B	9993	1121473	21.884314	3.137823
B	8710	1131466	21.651348	2.872475
...etc...
